	tau	loglike	best_alpha
0	1.0	-1.4679189314608851	1.267485549476916
1	1.125335582600765	-1.4656286699161563	1.2766676353818953
2	1.2663801734674032	-1.4637008570445962	1.2869841684119157
3	1.425102670302998	-1.4623024488263598	1.266796228255104
4	1.6037187437513303	-1.4602656312297742	1.2798171478826064
5	1.8047217668271702	-1.4592906622240929	1.264474701192946
6	2.0309176209047357	-1.4587409083754739	1.2804204039993567
7	2.2854638641349903	-1.4574506931116467	1.2770162492541712
8	2.571913809059345	-1.4570060076303835	1.283958995723929
9	2.8942661247167507	-1.4564155553147253	1.2857966406798416
10	3.257020655659783	-1.456718372343863	1.2767497347432888
11	3.665241237079628	-1.455708783562831	1.2854749598601378
12	4.1246263829013525	-1.4549195087606859	1.2843136033936609
13	4.641588833612778	-1.4544511934185813	1.2847490270756239
14	5.223345074266842	-1.4553927134959679	1.2823784326403544
15	5.878016072274912	-1.4548942646245508	1.287563164357402
16	6.614740641230149	-1.4549290485500928	1.28859533039593
17	7.443803013251689	-1.4547734273816815	1.3012302719484725
18	8.376776400682918	-1.455137009936952	1.2896341326995522
19	9.426684551178852	-1.4548495462641415	1.2926424904854161
20	10.608183551394482	-1.4550549895954752	1.282408499647934
21	11.937766417144363	-1.4548517814669382	1.2765502169293488
22	13.433993325989	-1.4549658067571776	1.2902331444682122
23	15.117750706156622	-1.454827412363471	1.284446740067231
24	17.012542798525892	-1.4551147540198652	1.2944204969385833
25	19.144819761699576	-1.4539502077818847	1.2967205022534958
26	21.544346900318832	-1.4562559065226892	1.281468993607158
27	24.244620170823282	-1.4556786762106895	1.2877785350789048
28	27.28333376486768	-1.4552693221090067	1.2812022568941195
29	30.702906297578497	-1.4554376629628003	1.3083613802285852
30	34.55107294592218	-1.4549382861586109	1.2930757580313321
31	38.881551803080875	-1.4562307875056593	1.2949216417157567
32	43.75479375074185	-1.4555059876015133	1.2959958745447162
33	49.23882631706739	-1.4559854755814383	1.2930730933403844
34	55.41020330009492	-1.455645502849269	1.289463969074389
35	62.355073412739124	-1.4560484192630267	1.282535471683664
36	70.17038286703826	-1.4560010044949474	1.2929326702409518
37	78.96522868499724	-1.4559265976539657	1.2703460672820277
38	88.86238162743403	-1.4557139801073091	1.2873744755645309
39	100.0	-1.4550383082878913	1.2931879534529296
