	tau	loglike	best_alpha
0	1.0	-1.5687604935085415	1.2751393803797968
1	1.125335582600765	-1.5659805642502074	1.29035550568627
2	1.2663801734674032	-1.5645129084088916	1.2925228194376135
3	1.425102670302998	-1.561920922831149	1.2817952316273622
4	1.6037187437513303	-1.5612592460793124	1.282253271694538
5	1.8047217668271702	-1.5590761009177303	1.2946805393602896
6	2.0309176209047357	-1.5581337443025858	1.3010318265573215
7	2.2854638641349903	-1.556822864080932	1.2910616921996054
8	2.571913809059345	-1.556967745671029	1.2645413871782787
9	2.8942661247167507	-1.5563563695391938	1.3019260263526946
10	3.257020655659783	-1.5552891874819315	1.3033425468888928
11	3.665241237079628	-1.5556200207209019	1.3044144970764107
12	4.1246263829013525	-1.5549939449365366	1.289890117412913
13	4.641588833612778	-1.5546717972942663	1.3001015044286817
14	5.223345074266842	-1.5541390119882055	1.2898864987618088
15	5.878016072274912	-1.5542620128329372	1.3108592634250087
16	6.614740641230149	-1.554090987783357	1.2961864261383071
17	7.443803013251689	-1.5533339872817549	1.2929219281871036
18	8.376776400682918	-1.5530192143992285	1.3005786755832076
19	9.426684551178852	-1.554160535463656	1.3001341896097238
20	10.608183551394482	-1.5537690538842246	1.2961767109556088
21	11.937766417144363	-1.5529289657903456	1.2935739143312093
22	13.433993325989	-1.5535907460404095	1.3054177126229858
23	15.117750706156622	-1.5518071188560991	1.312108672515584
24	17.012542798525892	-1.5532376029115011	1.2969604441639722
25	19.144819761699576	-1.5533344033123606	1.3018638713586723
26	21.544346900318832	-1.5533496015666195	1.3129765730391518
27	24.244620170823282	-1.5531977185609454	1.2958922104228618
28	27.28333376486768	-1.553933182242134	1.3057356591643616
29	30.702906297578497	-1.5533751514226284	1.2956600697482106
30	34.55107294592218	-1.5537533673968094	1.2875928919695119
31	38.881551803080875	-1.5528556805315834	1.3017635419275533
32	43.75479375074185	-1.5539995185388567	1.3013316923597822
33	49.23882631706739	-1.5529087898457345	1.3024270312060773
34	55.41020330009492	-1.5535373778289168	1.3037428283029784
35	62.355073412739124	-1.552958801433216	1.291617347775697
36	70.17038286703826	-1.5545977089872771	1.2886618603932527
37	78.96522868499724	-1.5539462790944565	1.308668402426918
38	88.86238162743403	-1.5544227512490345	1.2916944914283073
39	100.0	-1.5535145210638397	1.297204742758986
