	0
n_eval	300000.0
bounds00	7.0
bounds01	30.0
bounds10	1.0
bounds11	2.0
gamma_priors0	5.0
gamma_priors1	5.0
noise	0.01
lenght_scales0	50.0
lenght_scales1	1.0
xi	0.0002
n_calls	250.0
n_jobs	2.0
