,m_der_f,p_to_m,ll,log10_tau_p,log10_theta_p,err_tau_p,err_theta_p
0,0.3,0.01,-5.183470255987859,-0.014423033688994044,-0.7530033654332634,0.2031342978622969,10.529385041578331
1,0.3,0.02,-5.184887282695974,0.031045247060865977,-0.737913768755476,0.25503516418340894,6.156454439150324
2,0.3,0.05,-5.184421129605178,-0.15723974553534453,-0.8542253629708543,0.2374512890276919,1.2062120274272812
3,0.3,0.1,-5.183972104648116,-0.052485445845993656,-0.7609561849660205,0.21543369103167118,3.0616813137634784
4,0.5,0.01,-5.173603504101789,0.19924025574667034,-0.6775686025787326,0.19595179074414448,0.7312517227241113
5,0.5,0.02,-5.174118197896947,0.10500118143365793,-0.7047390828390705,0.24463545560857766,1.7287936783677411
6,0.5,0.05,-5.172766759061002,0.21342472845656396,-0.686296056403372,0.1652149619047016,0.571602149581713
7,0.5,0.1,-5.17360031892576,0.11231182753156503,-0.750535313529735,0.17810314257112503,1.241246712085668
8,0.8,0.01,-5.170646161352288,0.4486535613778863,-0.6612462169299543,0.17756740245997865,0.30379992138222944
9,0.8,0.02,-5.169047841656778,0.4647534898027934,-0.6348924493171055,0.12777941528066342,0.20195762397209835
10,0.8,0.05,-5.1703517388850155,0.4309524630347584,-0.6757953563326674,0.17669603707642345,0.31797196439601194
11,0.8,0.1,-5.1707134131709065,0.43228974230389594,-0.6625735330040898,0.15955049197516086,0.2766607259350442
