,m_der_f,p_to_m,ll,log10_tau_p,log10_theta_p,err_tau_p,err_theta_p
0,0.3,0.01,-5.913516312696436,-0.4959978038578111,-1.2377691562610862,0.08235546189636431,0.19909851727564726
1,0.3,0.02,-5.912957406197597,-0.536449111617455,-1.2450897481519954,0.07994387887746206,0.18943064028913023
2,0.3,0.05,-5.913015511434961,-0.43958051600153925,-1.243254710679771,0.08195831249849247,0.2089314570103228
3,0.3,0.1,-5.9126209995254575,-0.4987257962723257,-1.247323519279221,0.0706639130960237,0.1643406970469093
4,0.5,0.01,-5.905580199800845,-0.24472515167533404,-1.1168890700754237,0.08556764889601942,0.32988341255238385
5,0.5,0.02,-5.904683026672758,-0.4069953686652778,-1.2212759062886613,0.11380114931467664,0.24299873055172397
6,0.5,0.05,-5.904610199568679,-0.31199259047163386,-1.141604639765617,0.09646941403777229,0.2774287862756299
7,0.5,0.1,-5.904749912111735,-0.4880546758802375,-1.1976678577184043,0.08866772923456159,0.20826958276493612
8,0.8,0.01,-5.902083178392668,-0.057251551935657966,-1.0764588079695772,0.10116017055414012,1.8383001371959384
9,0.8,0.02,-5.902396232061717,-0.060933200628260485,-1.1383733839707049,0.0978897957775092,1.7758088090047128
10,0.8,0.05,-5.901801843499555,-0.1513276977674969,-1.07490521933989,0.08125557770933757,0.5403048116000058
11,0.8,0.1,-5.902110972981974,-0.0847682620747103,-1.0838523251987193,0.09221246872450432,1.1018524466759885
